,FQ1,FQ2,ID,LB,SM,PL,RUN
BGI1-RET2-AB1,BGI1-RET2-AB1-paired-1.fq.gz,BGI1-RET2-AB1-paired-2.fq.gz,BGI1-RET2-AB1,RET2,AB1,,
BGI2-RET2-AB1,BGI2-RET2-AB1-paired-1.fq.gz,BGI2-RET2-AB1-paired-2.fq.gz,BGI2-RET2-AB1,RET2,AB1,,
BGI3-RET2b-AB1,BGI3-RET2b-AB1-paired-1.fq.gz,BGI3-RET2b-AB1-paired-2.fq.gz,BGI3-RET2b-AB1,RET2b,AB1,,
MMP-7028LAB_5-AB1,MMP-7028LAB_5-AB1-paired-1.fq.gz,MMP-7028LAB_5-AB1-paired-2.fq.gz,MMP-7028LAB_5-AB1,7028LAB_5,AB1,,
MMP-B00B7AB_3-AB1,MMP-B00B7AB_3-AB1-paired-1.fq.gz,MMP-B00B7AB_3-AB1-paired-2.fq.gz,MMP-B00B7AB_3-AB1,B00B7AB_3,AB1,,
MMP-C02D1AC_1-AB1,MMP-C02D1AC_1-AB1-paired-1.fq.gz,MMP-C02D1AC_1-AB1-paired-2.fq.gz,MMP-C02D1AC_1-AB1,C02D1AC_1,AB1,,
MMP-D09NFAC_4-AB1,MMP-D09NFAC_4-AB1-paired-1.fq.gz,MMP-D09NFAC_4-AB1-paired-2.fq.gz,MMP-D09NFAC_4-AB1,D09NFAC_4,AB1,,
MMP-D0A7EAC_1-AB1,MMP-D0A7EAC_1-AB1-paired-1.fq.gz,MMP-D0A7EAC_1-AB1-paired-2.fq.gz,MMP-D0A7EAC_1-AB1,D0A7EAC_1,AB1,,
Rockman096-R096.2-AB1,Rockman096-R096.2-AB1-paired-1.fq.gz,Rockman096-R096.2-AB1-paired-2.fq.gz,Rockman096-R096.2-AB1,R096.2,AB1,,
MMP-7028LAB_5-AB3,MMP-7028LAB_5-AB3-paired-1.fq.gz,MMP-7028LAB_5-AB3-paired-2.fq.gz,MMP-7028LAB_5-AB3,7028LAB_5,AB4,,
MMP-B00B7AB_3-AB3,MMP-B00B7AB_3-AB3-paired-1.fq.gz,MMP-B00B7AB_3-AB3-paired-2.fq.gz,MMP-B00B7AB_3-AB3,B00B7AB_3,AB4,,
MMP-C02D1AC_1-AB3,MMP-C02D1AC_1-AB3-paired-1.fq.gz,MMP-C02D1AC_1-AB3-paired-2.fq.gz,MMP-C02D1AC_1-AB3,C02D1AC_1,AB4,,
MMP-D09NFAC_4-AB3,MMP-D09NFAC_4-AB3-paired-1.fq.gz,MMP-D09NFAC_4-AB3-paired-2.fq.gz,MMP-D09NFAC_4-AB3,D09NFAC_4,AB4,,
MMP-D0A7EAC_1-AB3,MMP-D0A7EAC_1-AB3-paired-1.fq.gz,MMP-D0A7EAC_1-AB3-paired-2.fq.gz,MMP-D0A7EAC_1-AB3,D0A7EAC_1,AB4,,
