,FQ1,FQ2,ID,LB,SM,PL,RUN
BGI1-RET2-AB4,BGI1-RET2-AB4-paired-1.fq.gz,BGI1-RET2-AB4-paired-2.fq.gz,BGI1-RET2-AB4,RET2,AB4,,
BGI2-RET2-AB4,BGI2-RET2-AB4-paired-1.fq.gz,BGI2-RET2-AB4-paired-2.fq.gz,BGI2-RET2-AB4,RET2,AB4,,
BGI3-RET2a-AB4,BGI3-RET2a-AB4-paired-1.fq.gz,BGI3-RET2a-AB4-paired-2.fq.gz,BGI3-RET2a-AB4,RET2a,AB4,,
Rockman999-R999.1-AB2,Rockman999-R999.1-AB2-paired-1.fq.gz,Rockman999-R999.1-AB2-paired-2.fq.gz,Rockman999-R999.1-AB2,R999.1,AB4,,
BGI1-RET3-CB4851_CGC,BGI1-RET3-CB4851_CGC-paired-1.fq.gz,BGI1-RET3-CB4851_CGC-paired-2.fq.gz,BGI1-RET3-CB4851_CGC,RET3,CB4851_CGC,,
BGI2-RET3-CB4851_CGC,BGI2-RET3-CB4851_CGC-paired-1.fq.gz,BGI2-RET3-CB4851_CGC-paired-2.fq.gz,BGI2-RET3-CB4851_CGC,RET3,CB4851_CGC,,
BGI3-RET3b-CB4851_CGC,BGI3-RET3b-CB4851_CGC-paired-1.fq.gz,BGI3-RET3b-CB4851_CGC-paired-2.fq.gz,BGI3-RET3b-CB4851_CGC,RET3b,CB4851_CGC,,
Princeton-ECA41_d0ncdac-CB4851,Princeton-ECA41_d0ncdac-CB4851-paired-1.fq.gz,Princeton-ECA41_d0ncdac-CB4851-paired-2.fq.gz,Princeton-ECA41_d0ncdac-CB4851,ECA41_d0ncdac,CB4851_CGC,,
BGI1-RET1-CB4852,BGI1-RET1-CB4852-paired-1.fq.gz,BGI1-RET1-CB4852-paired-2.fq.gz,BGI1-RET1-CB4852,RET1,CB4852,,
BGI1-RET4-CB4852,BGI1-RET4-CB4852-paired-1.fq.gz,BGI1-RET4-CB4852-paired-2.fq.gz,BGI1-RET4-CB4852,RET4,CB4852,,
BGI2-RET1-CB4852,BGI2-RET1-CB4852-paired-1.fq.gz,BGI2-RET1-CB4852-paired-2.fq.gz,BGI2-RET1-CB4852,RET1,CB4852,,
BGI2-RET4-CB4852,BGI2-RET4-CB4852-paired-1.fq.gz,BGI2-RET4-CB4852-paired-2.fq.gz,BGI2-RET4-CB4852,RET4,CB4852,,
BGI3-RET1b-CB4852,BGI3-RET1b-CB4852-paired-1.fq.gz,BGI3-RET1b-CB4852-paired-2.fq.gz,BGI3-RET1b-CB4852,RET1b,CB4852,,
Rockman096-R096.2-CB4852,Rockman096-R096.2-CB4852-paired-1.fq.gz,Rockman096-R096.2-CB4852-paired-2.fq.gz,Rockman096-R096.2-CB4852,R096.2,CB4852,,
MMP-7028LAB_5-CB4853,MMP-7028LAB_5-CB4853-paired-1.fq.gz,MMP-7028LAB_5-CB4853-paired-2.fq.gz,MMP-7028LAB_5-CB4853,7028LAB_5,CB4853,,
MMP-B00B7AB_3-CB4853,MMP-B00B7AB_3-CB4853-paired-1.fq.gz,MMP-B00B7AB_3-CB4853-paired-2.fq.gz,MMP-B00B7AB_3-CB4853,B00B7AB_3,CB4853,,
MMP-C02D1AC_1-CB4853,MMP-C02D1AC_1-CB4853-paired-1.fq.gz,MMP-C02D1AC_1-CB4853-paired-2.fq.gz,MMP-C02D1AC_1-CB4853,C02D1AC_1,CB4853,,
MMP-D09NFAC_4-CB4853,MMP-D09NFAC_4-CB4853-paired-1.fq.gz,MMP-D09NFAC_4-CB4853-paired-2.fq.gz,MMP-D09NFAC_4-CB4853,D09NFAC_4,CB4853,,
MMP-D0A7EAC_1-CB4853,MMP-D0A7EAC_1-CB4853-paired-1.fq.gz,MMP-D0A7EAC_1-CB4853-paired-2.fq.gz,MMP-D0A7EAC_1-CB4853,D0A7EAC_1,CB4853,,
BGI2-RET6-CB4853_CGC,BGI2-RET6-CB4853_CGC-paired-1.fq.gz,BGI2-RET6-CB4853_CGC-paired-2.fq.gz,BGI2-RET6-CB4853_CGC,RET6,CB4853,,
BGI3-RET6a-CB4853_CGC,BGI3-RET6a-CB4853_CGC-paired-1.fq.gz,BGI3-RET6a-CB4853_CGC-paired-2.fq.gz,BGI3-RET6a-CB4853_CGC,RET6a,CB4853,,
BGI1-RET3-CB4853_UK,BGI1-RET3-CB4853_UK-paired-1.fq.gz,BGI1-RET3-CB4853_UK-paired-2.fq.gz,BGI1-RET3-CB4853_UK,RET3,CB4853,,
BGI2-RET3-CB4853_UK,BGI2-RET3-CB4853_UK-paired-1.fq.gz,BGI2-RET3-CB4853_UK-paired-2.fq.gz,BGI2-RET3-CB4853_UK,RET3,CB4853,,
BGI3-RET3a-CB4853_UK,BGI3-RET3a-CB4853_UK-paired-1.fq.gz,BGI3-RET3a-CB4853_UK-paired-2.fq.gz,BGI3-RET3a-CB4853_UK,RET3a,CB4853,,
Princeton-ECA35_c099uac-CB4853,Princeton-ECA35_c099uac-CB4853-paired-1.fq.gz,Princeton-ECA35_c099uac-CB4853-paired-2.fq.gz,Princeton-ECA35_c099uac-CB4853,ECA35_c099uac,CB4853,,
Princeton-ECA35_d0mbhac-CB4853,Princeton-ECA35_d0mbhac-CB4853-paired-1.fq.gz,Princeton-ECA35_d0mbhac-CB4853-paired-2.fq.gz,Princeton-ECA35_d0mbhac-CB4853,ECA35_d0mbhac,CB4853,,
BGI1-RET7-CB4854,BGI1-RET7-CB4854-paired-1.fq.gz,BGI1-RET7-CB4854-paired-2.fq.gz,BGI1-RET7-CB4854,RET7,CB4854,,
BGI2-RET7-CB4854,BGI2-RET7-CB4854-paired-1.fq.gz,BGI2-RET7-CB4854-paired-2.fq.gz,BGI2-RET7-CB4854,RET7,CB4854,,
BGI3-RET7a-CB4854,BGI3-RET7a-CB4854-paired-1.fq.gz,BGI3-RET7a-CB4854-paired-2.fq.gz,BGI3-RET7a-CB4854,RET7a,CB4854,,
MMP-7028LAB_5-CB4854,MMP-7028LAB_5-CB4854-paired-1.fq.gz,MMP-7028LAB_5-CB4854-paired-2.fq.gz,MMP-7028LAB_5-CB4854,7028LAB_5,CB4854,,
MMP-B00B7AB_3-CB4854,MMP-B00B7AB_3-CB4854-paired-1.fq.gz,MMP-B00B7AB_3-CB4854-paired-2.fq.gz,MMP-B00B7AB_3-CB4854,B00B7AB_3,CB4854,,
MMP-C02D1AC_1-CB4854,MMP-C02D1AC_1-CB4854-paired-1.fq.gz,MMP-C02D1AC_1-CB4854-paired-2.fq.gz,MMP-C02D1AC_1-CB4854,C02D1AC_1,CB4854,,
MMP-D09NFAC_4-CB4854,MMP-D09NFAC_4-CB4854-paired-1.fq.gz,MMP-D09NFAC_4-CB4854-paired-2.fq.gz,MMP-D09NFAC_4-CB4854,D09NFAC_4,CB4854,,
MMP-D0A7EAC_1-CB4854,MMP-D0A7EAC_1-CB4854-paired-1.fq.gz,MMP-D0A7EAC_1-CB4854-paired-2.fq.gz,MMP-D0A7EAC_1-CB4854,D0A7EAC_1,CB4854,,
BGI1-RET4-CB4855_UK,BGI1-RET4-CB4855_UK-paired-1.fq.gz,BGI1-RET4-CB4855_UK-paired-2.fq.gz,BGI1-RET4-CB4855_UK,RET4,CB4855_UK,,
BGI2-RET4-CB4855_UK,BGI2-RET4-CB4855_UK-paired-1.fq.gz,BGI2-RET4-CB4855_UK-paired-2.fq.gz,BGI2-RET4-CB4855_UK,RET4,CB4855_UK,,
BGI3-RET4b-CB4855_UK,BGI3-RET4b-CB4855_UK-paired-1.fq.gz,BGI3-RET4b-CB4855_UK-paired-2.fq.gz,BGI3-RET4b-CB4855_UK,RET4b,CB4855_UK,,
Princeton-ECA30_c02hkac-CB4855,Princeton-ECA30_c02hkac-CB4855-paired-1.fq.gz,Princeton-ECA30_c02hkac-CB4855-paired-2.fq.gz,Princeton-ECA30_c02hkac-CB4855,ECA30_c02hkac,CB4855_UK,,
Princeton-ECA30_c03b2ab-CB4855,Princeton-ECA30_c03b2ab-CB4855-paired-1.fq.gz,Princeton-ECA30_c03b2ab-CB4855-paired-2.fq.gz,Princeton-ECA30_c03b2ab-CB4855,ECA30_c03b2ab,CB4855_UK,,
MMP-62GECAA_1-CB4856,MMP-62GECAA_1-CB4856-paired-1.fq.gz,MMP-62GECAA_1-CB4856-paired-2.fq.gz,MMP-62GECAA_1-CB4856,62GECAA_1,CB4856,,
Rockman106-R106.3-CB4856,Rockman106-R106.3-CB4856-paired-1.fq.gz,Rockman106-R106.3-CB4856-paired-2.fq.gz,Rockman106-R106.3-CB4856,R106.3,CB4856,,
BGI1-RET1-CB4856,BGI1-RET1-CB4856-paired-1.fq.gz,BGI1-RET1-CB4856-paired-2.fq.gz,BGI1-RET1-CB4856,RET1,CB4856,,
BGI2-RET1-CB4856,BGI2-RET1-CB4856-paired-1.fq.gz,BGI2-RET1-CB4856-paired-2.fq.gz,BGI2-RET1-CB4856,RET1,CB4856,,
BGI3-RET1a-CB4856,BGI3-RET1a-CB4856-paired-1.fq.gz,BGI3-RET1a-CB4856-paired-2.fq.gz,BGI3-RET1a-CB4856,RET1a,CB4856,,
Princeton-P-CB4856,Princeton-P-CB4856-paired-1.fq.gz,Princeton-P-CB4856-paired-2.fq.gz,Princeton-P-CB4856,P,CB4856,,
Uchicago-L001-CB4856,Uchicago-L001-CB4856-paired-1.fq.gz,Uchicago-L001-CB4856-paired-2.fq.gz,Uchicago-L001-CB4856,L001,CB4856,,
Rockman999-R999.1-CB4856,Rockman999-R999.1-CB4856-paired-1.fq.gz,Rockman999-R999.1-CB4856-paired-2.fq.gz,Rockman999-R999.1-CB4856,R999.1,CB4856,,
Uchicago-L001-CB4857_CGC,Uchicago-L001-CB4857_CGC-paired-1.fq.gz,Uchicago-L001-CB4857_CGC-paired-2.fq.gz,Uchicago-L001-CB4857_CGC,L001,CB4857,,
BGI1-RET6-CB4857_UK,BGI1-RET6-CB4857_UK-paired-1.fq.gz,BGI1-RET6-CB4857_UK-paired-2.fq.gz,BGI1-RET6-CB4857_UK,RET6,CB4857,,
BGI2-RET6-CB4857_UK,BGI2-RET6-CB4857_UK-paired-1.fq.gz,BGI2-RET6-CB4857_UK-paired-2.fq.gz,BGI2-RET6-CB4857_UK,RET6,CB4857,,
BGI3-RET6b-CB4857_UK,BGI3-RET6b-CB4857_UK-paired-1.fq.gz,BGI3-RET6b-CB4857_UK-paired-2.fq.gz,BGI3-RET6b-CB4857_UK,RET6b,CB4857,,
BGI3-RET1b-CB4857_CGC,BGI3-RET1b-CB4857_CGC-paired-1.fq.gz,BGI3-RET1b-CB4857_CGC-paired-2.fq.gz,BGI3-RET1b-CB4857_CGC,RET1b,CB4857,,
BGI1-RET3-CB4858_UK,BGI1-RET3-CB4858_UK-paired-1.fq.gz,BGI1-RET3-CB4858_UK-paired-2.fq.gz,BGI1-RET3-CB4858_UK,RET3,CB4858_UK,,
BGI2-RET3-CB4858_UK,BGI2-RET3-CB4858_UK-paired-1.fq.gz,BGI2-RET3-CB4858_UK-paired-2.fq.gz,BGI2-RET3-CB4858_UK,RET3,CB4858_UK,,
BGI3-RET3b-CB4858_UK,BGI3-RET3b-CB4858_UK-paired-1.fq.gz,BGI3-RET3b-CB4858_UK-paired-2.fq.gz,BGI3-RET3b-CB4858_UK,RET3b,CB4858_UK,,
BGI1-RET7-CB4932,BGI1-RET7-CB4932-paired-1.fq.gz,BGI1-RET7-CB4932-paired-2.fq.gz,BGI1-RET7-CB4932,RET7,CB4932,,
BGI2-RET7-CB4932,BGI2-RET7-CB4932-paired-1.fq.gz,BGI2-RET7-CB4932-paired-2.fq.gz,BGI2-RET7-CB4932,RET7,CB4932,,
BGI3-RET7b-CB4932,BGI3-RET7b-CB4932-paired-1.fq.gz,BGI3-RET7b-CB4932-paired-2.fq.gz,BGI3-RET7b-CB4932,RET7b,CB4932,,
Princeton-ECA35_c099uac-CB4932,Princeton-ECA35_c099uac-CB4932-paired-1.fq.gz,Princeton-ECA35_c099uac-CB4932-paired-2.fq.gz,Princeton-ECA35_c099uac-CB4932,ECA35_c099uac,CB4932,,
Princeton-ECA35_d0mbhac-CB4932,Princeton-ECA35_d0mbhac-CB4932-paired-1.fq.gz,Princeton-ECA35_d0mbhac-CB4932-paired-2.fq.gz,Princeton-ECA35_d0mbhac-CB4932,ECA35_d0mbhac,CB4932,,
BGI1-RET3-CX11254,BGI1-RET3-CX11254-paired-1.fq.gz,BGI1-RET3-CX11254-paired-2.fq.gz,BGI1-RET3-CX11254,RET3,CX11254,,
BGI2-RET3-CX11254,BGI2-RET3-CX11254-paired-1.fq.gz,BGI2-RET3-CX11254-paired-2.fq.gz,BGI2-RET3-CX11254,RET3,CX11254,,
BGI3-RET3b-CX11254,BGI3-RET3b-CX11254-paired-1.fq.gz,BGI3-RET3b-CX11254-paired-2.fq.gz,BGI3-RET3b-CX11254,RET3b,CX11254,,
BGI2-RET6-CX11262,BGI2-RET6-CX11262-paired-1.fq.gz,BGI2-RET6-CX11262-paired-2.fq.gz,BGI2-RET6-CX11262,RET6,CX11262,,
BGI3-RET6a-CX11262,BGI3-RET6a-CX11262-paired-1.fq.gz,BGI3-RET6a-CX11262-paired-2.fq.gz,BGI3-RET6a-CX11262,RET6a,CX11262,,
BGI1-RET5-CX11264,BGI1-RET5-CX11264-paired-1.fq.gz,BGI1-RET5-CX11264-paired-2.fq.gz,BGI1-RET5-CX11264,RET5,CX11264,,
BGI2-RET5-CX11264,BGI2-RET5-CX11264-paired-1.fq.gz,BGI2-RET5-CX11264-paired-2.fq.gz,BGI2-RET5-CX11264,RET5,CX11264,,
BGI3-RET5a-CX11264,BGI3-RET5a-CX11264-paired-1.fq.gz,BGI3-RET5a-CX11264-paired-2.fq.gz,BGI3-RET5a-CX11264,RET5a,CX11264,,
Princeton-ECA36_c099uac-CX11264,Princeton-ECA36_c099uac-CX11264-paired-1.fq.gz,Princeton-ECA36_c099uac-CX11264-paired-2.fq.gz,Princeton-ECA36_c099uac-CX11264,ECA36_c099uac,CX11264,,
Princeton-ECA36_d0mbhac-CX11264,Princeton-ECA36_d0mbhac-CX11264-paired-1.fq.gz,Princeton-ECA36_d0mbhac-CX11264-paired-2.fq.gz,Princeton-ECA36_d0mbhac-CX11264,ECA36_d0mbhac,CX11264,,
BGI1-RET7-CX11271,BGI1-RET7-CX11271-paired-1.fq.gz,BGI1-RET7-CX11271-paired-2.fq.gz,BGI1-RET7-CX11271,RET7,CX11271,,
BGI2-RET7-CX11271,BGI2-RET7-CX11271-paired-1.fq.gz,BGI2-RET7-CX11271-paired-2.fq.gz,BGI2-RET7-CX11271,RET7,CX11271,,
BGI3-RET7a-CX11271,BGI3-RET7a-CX11271-paired-1.fq.gz,BGI3-RET7a-CX11271-paired-2.fq.gz,BGI3-RET7a-CX11271,RET7a,CX11271,,
Princeton-ECA40_d0ncdac-CX11271,Princeton-ECA40_d0ncdac-CX11271-paired-1.fq.gz,Princeton-ECA40_d0ncdac-CX11271-paired-2.fq.gz,Princeton-ECA40_d0ncdac-CX11271,ECA40_d0ncdac,CX11271,,
BGI1-RET2-CX11276,BGI1-RET2-CX11276-paired-1.fq.gz,BGI1-RET2-CX11276-paired-2.fq.gz,BGI1-RET2-CX11276,RET2,CX11276,,
BGI2-RET2-CX11276,BGI2-RET2-CX11276-paired-1.fq.gz,BGI2-RET2-CX11276-paired-2.fq.gz,BGI2-RET2-CX11276,RET2,CX11276,,
BGI3-RET2b-CX11276,BGI3-RET2b-CX11276-paired-1.fq.gz,BGI3-RET2b-CX11276-paired-2.fq.gz,BGI3-RET2b-CX11276,RET2b,CX11276,,
BGI1-RET2-CX11285,BGI1-RET2-CX11285-paired-1.fq.gz,BGI1-RET2-CX11285-paired-2.fq.gz,BGI1-RET2-CX11285,RET2,CX11285,,
BGI2-RET2-CX11285,BGI2-RET2-CX11285-paired-1.fq.gz,BGI2-RET2-CX11285-paired-2.fq.gz,BGI2-RET2-CX11285,RET2,CX11285,,
BGI3-RET2a-CX11285,BGI3-RET2a-CX11285-paired-1.fq.gz,BGI3-RET2a-CX11285-paired-2.fq.gz,BGI3-RET2a-CX11285,RET2a,CX11285,,
BGI1-RET4-CX11292,BGI1-RET4-CX11292-paired-1.fq.gz,BGI1-RET4-CX11292-paired-2.fq.gz,BGI1-RET4-CX11292,RET4,CX11292,,
BGI2-RET4-CX11292,BGI2-RET4-CX11292-paired-1.fq.gz,BGI2-RET4-CX11292-paired-2.fq.gz,BGI2-RET4-CX11292,RET4,CX11292,,
BGI3-RET4b-CX11292,BGI3-RET4b-CX11292-paired-1.fq.gz,BGI3-RET4b-CX11292-paired-2.fq.gz,BGI3-RET4b-CX11292,RET4b,CX11292,,
Princeton-ECA35_c099uac-CX11292,Princeton-ECA35_c099uac-CX11292-paired-1.fq.gz,Princeton-ECA35_c099uac-CX11292-paired-2.fq.gz,Princeton-ECA35_c099uac-CX11292,ECA35_c099uac,CX11292,,
Princeton-ECA35_d0mbhac-CX11292,Princeton-ECA35_d0mbhac-CX11292-paired-1.fq.gz,Princeton-ECA35_d0mbhac-CX11292-paired-2.fq.gz,Princeton-ECA35_d0mbhac-CX11292,ECA35_d0mbhac,CX11292,,
BGI1-RET5-CX11307,BGI1-RET5-CX11307-paired-1.fq.gz,BGI1-RET5-CX11307-paired-2.fq.gz,BGI1-RET5-CX11307,RET5,CX11307,,
BGI2-RET5-CX11307,BGI2-RET5-CX11307-paired-1.fq.gz,BGI2-RET5-CX11307-paired-2.fq.gz,BGI2-RET5-CX11307,RET5,CX11307,,
BGI3-RET5a-CX11307,BGI3-RET5a-CX11307-paired-1.fq.gz,BGI3-RET5a-CX11307-paired-2.fq.gz,BGI3-RET5a-CX11307,RET5a,CX11307,,
BGI1-RET3-CX11314,BGI1-RET3-CX11314-paired-1.fq.gz,BGI1-RET3-CX11314-paired-2.fq.gz,BGI1-RET3-CX11314,RET3,CX11314,,
BGI2-RET3-CX11314,BGI2-RET3-CX11314-paired-1.fq.gz,BGI2-RET3-CX11314-paired-2.fq.gz,BGI2-RET3-CX11314,RET3,CX11314,,
BGI3-RET3b-CX11314,BGI3-RET3b-CX11314-paired-1.fq.gz,BGI3-RET3b-CX11314-paired-2.fq.gz,BGI3-RET3b-CX11314,RET3b,CX11314,,
BGI1-RET1-CX11315,BGI1-RET1-CX11315-paired-1.fq.gz,BGI1-RET1-CX11315-paired-2.fq.gz,BGI1-RET1-CX11315,RET1,CX11315,,
BGI2-RET1-CX11315,BGI2-RET1-CX11315-paired-1.fq.gz,BGI2-RET1-CX11315-paired-2.fq.gz,BGI2-RET1-CX11315,RET1,CX11315,,
BGI3-RET1b-CX11315,BGI3-RET1b-CX11315-paired-1.fq.gz,BGI3-RET1b-CX11315-paired-2.fq.gz,BGI3-RET1b-CX11315,RET1b,CX11315,,
BGI1-RET4-DL200,BGI1-RET4-DL200-paired-1.fq.gz,BGI1-RET4-DL200-paired-2.fq.gz,BGI1-RET4-DL200,RET4,DL200,,
BGI2-RET4-DL200,BGI2-RET4-DL200-paired-1.fq.gz,BGI2-RET4-DL200-paired-2.fq.gz,BGI2-RET4-DL200,RET4,DL200,,
BGI3-RET4a-DL200,BGI3-RET4a-DL200-paired-1.fq.gz,BGI3-RET4a-DL200-paired-2.fq.gz,BGI3-RET4a-DL200,RET4a,DL200,,
BGI1-RET2-DL226,BGI1-RET2-DL226-paired-1.fq.gz,BGI1-RET2-DL226-paired-2.fq.gz,BGI1-RET2-DL226,RET2,DL226,,
BGI2-RET2-DL226,BGI2-RET2-DL226-paired-1.fq.gz,BGI2-RET2-DL226-paired-2.fq.gz,BGI2-RET2-DL226,RET2,DL226,,
BGI3-RET2b-DL226,BGI3-RET2b-DL226-paired-1.fq.gz,BGI3-RET2b-DL226-paired-2.fq.gz,BGI3-RET2b-DL226,RET2b,DL226,,
BGI1-RET1-DL238,BGI1-RET1-DL238-paired-1.fq.gz,BGI1-RET1-DL238-paired-2.fq.gz,BGI1-RET1-DL238,RET1,DL238,,
BGI2-RET1-DL238,BGI2-RET1-DL238-paired-1.fq.gz,BGI2-RET1-DL238-paired-2.fq.gz,BGI2-RET1-DL238,RET1,DL238,,
BGI3-RET1a-DL238,BGI3-RET1a-DL238-paired-1.fq.gz,BGI3-RET1a-DL238-paired-2.fq.gz,BGI3-RET1a-DL238,RET1a,DL238,,
Princeton-P-DL238,Princeton-P-DL238-paired-1.fq.gz,Princeton-P-DL238-paired-2.fq.gz,Princeton-P-DL238,P,DL238,,
Princeton-ECA40_d0ncdac-DL238,Princeton-ECA40_d0ncdac-DL238-paired-1.fq.gz,Princeton-ECA40_d0ncdac-DL238-paired-2.fq.gz,Princeton-ECA40_d0ncdac-DL238,ECA40_d0ncdac,DL238,,
BGI1-RET5-ED3005,BGI1-RET5-ED3005-paired-1.fq.gz,BGI1-RET5-ED3005-paired-2.fq.gz,BGI1-RET5-ED3005,RET5,ED3005,,
BGI2-RET5-ED3005,BGI2-RET5-ED3005-paired-1.fq.gz,BGI2-RET5-ED3005-paired-2.fq.gz,BGI2-RET5-ED3005,RET5,ED3005,,
BGI3-RET5a-ED3005,BGI3-RET5a-ED3005-paired-1.fq.gz,BGI3-RET5a-ED3005-paired-2.fq.gz,BGI3-RET5a-ED3005,RET5a,ED3005,,
MMP-7028LAB_5-ED3021,MMP-7028LAB_5-ED3021-paired-1.fq.gz,MMP-7028LAB_5-ED3021-paired-2.fq.gz,MMP-7028LAB_5-ED3021,7028LAB_5,ED3005,,
MMP-B00B7AB_3-ED3021,MMP-B00B7AB_3-ED3021-paired-1.fq.gz,MMP-B00B7AB_3-ED3021-paired-2.fq.gz,MMP-B00B7AB_3-ED3021,B00B7AB_3,ED3005,,
MMP-C02D1AC_1-ED3021,MMP-C02D1AC_1-ED3021-paired-1.fq.gz,MMP-C02D1AC_1-ED3021-paired-2.fq.gz,MMP-C02D1AC_1-ED3021,C02D1AC_1,ED3005,,
MMP-D09NFAC_4-ED3021,MMP-D09NFAC_4-ED3021-paired-1.fq.gz,MMP-D09NFAC_4-ED3021-paired-2.fq.gz,MMP-D09NFAC_4-ED3021,D09NFAC_4,ED3005,,
MMP-D0A7EAC_1-ED3021,MMP-D0A7EAC_1-ED3021-paired-1.fq.gz,MMP-D0A7EAC_1-ED3021-paired-2.fq.gz,MMP-D0A7EAC_1-ED3021,D0A7EAC_1,ED3005,,
BGI1-RET3-ED3011,BGI1-RET3-ED3011-paired-1.fq.gz,BGI1-RET3-ED3011-paired-2.fq.gz,BGI1-RET3-ED3011,RET3,ED3011,,
BGI2-RET3-ED3011,BGI2-RET3-ED3011-paired-1.fq.gz,BGI2-RET3-ED3011-paired-2.fq.gz,BGI2-RET3-ED3011,RET3,ED3011,,
BGI3-RET3a-ED3011,BGI3-RET3a-ED3011-paired-1.fq.gz,BGI3-RET3a-ED3011-paired-2.fq.gz,BGI3-RET3a-ED3011,RET3a,ED3011,,
BGI1-RET6-ED3012,BGI1-RET6-ED3012-paired-1.fq.gz,BGI1-RET6-ED3012-paired-2.fq.gz,BGI1-RET6-ED3012,RET6,ED3012,,
BGI2-RET6-ED3012,BGI2-RET6-ED3012-paired-1.fq.gz,BGI2-RET6-ED3012-paired-2.fq.gz,BGI2-RET6-ED3012,RET6,ED3012,,
BGI3-RET6a-ED3012,BGI3-RET6a-ED3012-paired-1.fq.gz,BGI3-RET6a-ED3012-paired-2.fq.gz,BGI3-RET6a-ED3012,RET6a,ED3012,,
BGI1-RET2-ED3017,BGI1-RET2-ED3017-paired-1.fq.gz,BGI1-RET2-ED3017-paired-2.fq.gz,BGI1-RET2-ED3017,RET2,ED3017,,
BGI2-RET2-ED3017,BGI2-RET2-ED3017-paired-1.fq.gz,BGI2-RET2-ED3017-paired-2.fq.gz,BGI2-RET2-ED3017,RET2,ED3017,,
BGI3-RET2a-ED3017,BGI3-RET2a-ED3017-paired-1.fq.gz,BGI3-RET2a-ED3017-paired-2.fq.gz,BGI3-RET2a-ED3017,RET2a,ED3017,,
MMP-7028LAB_5-ED3017,MMP-7028LAB_5-ED3017-paired-1.fq.gz,MMP-7028LAB_5-ED3017-paired-2.fq.gz,MMP-7028LAB_5-ED3017,7028LAB_5,ED3017,,
MMP-B00B7AB_3-ED3017,MMP-B00B7AB_3-ED3017-paired-1.fq.gz,MMP-B00B7AB_3-ED3017-paired-2.fq.gz,MMP-B00B7AB_3-ED3017,B00B7AB_3,ED3017,,
MMP-C02D1AC_1-ED3017,MMP-C02D1AC_1-ED3017-paired-1.fq.gz,MMP-C02D1AC_1-ED3017-paired-2.fq.gz,MMP-C02D1AC_1-ED3017,C02D1AC_1,ED3017,,
MMP-D09NFAC_4-ED3017,MMP-D09NFAC_4-ED3017-paired-1.fq.gz,MMP-D09NFAC_4-ED3017-paired-2.fq.gz,MMP-D09NFAC_4-ED3017,D09NFAC_4,ED3017,,
