Strain,City,State/Province,Country,Isolated By,Year Isolated,COMPLETE LOCATION,,Obtained from Supp. Table 10
AB1,Adelaide,South Australia,Australia,Alan Bird,1984,"Adelaide, South Australia (Australia)",,http://genome.cshlp.org/content/suppl/2013/08/20/gr.157651.113.DC2/Supplemental_Table_10.pdf
AB3,Adelaide,South Australia,Australia,Alan Bird,1984,"Adelaide, South Australia (Australia)",,
CB4853,Altadena,California,United States,Carl Johnson,,"Altadena, California (United States)",,
CB4854,Altadena,California,United States,Carl Johnson,1974,"Altadena, California (United States)",,
CB4856,,Hawaii,United States,L. Hollen,1972,", Hawaii (United States)",,
ED3017,Edinburgh ,Scotland,United Kingdom,A. Cutter/E. Dolgin,2005,"Edinburgh , Scotland (United Kingdom)",,
ED3021,Edinburgh ,Scotland,United Kingdom,A. Cutter/E. Dolgin,2005,"Edinburgh , Scotland (United Kingdom)",,
ED3040,Johannesburg,Gauteng South Africa,South Africa,E. Dolgin,2006,"Johannesburg, Gauteng South Africa (South Africa)",,
ED3042,Ceres,Western Cape South,South Africa,E. Dolgin,2006,"Ceres, Western Cape South (South Africa)",,
ED3049,Ceres,Western Cape South,South Africa,E. Dolgin,2006,"Ceres, Western Cape South (South Africa)",,
ED3052,Ceres,Western Cape South,South Africa,E. Dolgin,2006,"Ceres, Western Cape South (South Africa)",,
ED3057,Limuru,Kiambu West District,Kenya,E. Dolgin,2006,"Limuru, Kiambu West District (Kenya)",,
ED3072,Limuru,Kiambu West District,Kenya,E. Dolgin,2006,"Limuru, Kiambu West District (Kenya)",,
GXW1,Wuhan China Guoxiu,,China,Julie Wang,2010,"Wuhan China Guoxiu,  (China)",,
JU258,Ribeiro Frio,Madeira Portugal ,Portugal,M.A. Felix,,"Ribeiro Frio, Madeira Portugal  (Portugal)",,
JU263,Le Blanc,Indre France ,France,M.A. Felix,,"Le Blanc, Indre France  (France)",,
JU300,Le Blanc,Indre France ,France,M.A. Felix,2002,"Le Blanc, Indre France  (France)",,
JU312,Merlet,Lagorce (Ardeche) France ,France,M.A. Felix,2002,"Merlet, Lagorce (Ardeche) France  (France)",,
JU322,Merlet,Lagorce (Ardeche) France ,France,M.A. Felix,2002,"Merlet, Lagorce (Ardeche) France  (France)",,
JU345,Merlet,Lagorce (Ardeche) France ,France,M.A. Felix,2002,"Merlet, Lagorce (Ardeche) France  (France)",,
JU360,Franconville,Val d'Oise,France ,M.A. Felix,2002,"Franconville, Val d'Oise (France )",,
JU361,Franconville,Val d'Oise,France ,M.A. Felix,2002,"Franconville, Val d'Oise (France )",,
JU394,Hermanville,Calvados,France,A. Barriere,2002,"Hermanville, Calvados (France)",,
JU397,Hermanville,Calvados,France,A. Barriere,2002,"Hermanville, Calvados (France)",,
JU533,Primel-Trigastrel,Finistere,France ,M.A. Felix,2004,"Primel-Trigastrel, Finistere (France )",,
JU642,Le Perreux sur Marne ,,France ,M.A. Felix,2004,"Le Perreux sur Marne ,  (France )",,
JU775,Lisbon,,Portugal,M.A. Felix,2005,"Lisbon,  (Portugal)",,
JU1088,Kakegawa ,,Japan,M.A. Felix,2007,"Kakegawa ,  (Japan)",,
JU1171,Conception,,Chile,M.A. Felix,2007,"Conception,  (Chile)",,
JU1400,Seville,Andalucia,Spain,,2008,"Seville, Andalucia (Spain)",,
JU1401,Carmona,Andalucia,Spain,,2008,"Carmona, Andalucia (Spain)",,
JU1652,Montevideo,R. Giordano,Uraguay,R. Giordano,,"Montevideo, R. Giordano (Uraguay)",,
KR314,Vancouver,British Columbia,Canada,Fred Dill,,"Vancouver, British Columbia (Canada)",,
LKC34,,,Madagascar,V. Stowell,2005,",  (Madagascar)",,
MY1,Lingen,Emsland Germany ,Germany,H. Schulenberg,2002,"Lingen, Emsland Germany  (Germany)",,
MY2,Roxel,Munster Germany ,Germany,H. Schulenberg,2002,"Roxel, Munster Germany  (Germany)",,
MY6,Roxel,Munster Germany ,Germany,H. Schulenberg,2002,"Roxel, Munster Germany  (Germany)",,
MY14,Mecklenbeck,Munster Germany ,Germany,H. Schulenberg,2002,"Mecklenbeck, Munster Germany  (Germany)",,
MY16,Mecklenbeck,Munster Germany ,Germany,H. Schulenberg,2002,"Mecklenbeck, Munster Germany  (Germany)",,
PX174,Lincoln City,Oregon,United States,B. White,,"Lincoln City, Oregon (United States)",,
