isolated_by,landscape,latitude,longitude,place,species,strain,substrate
Elie Dolgin,NA,-1.107774,36.641273,"Limuru, Kiambu West District, Kenya",Caenorhabditis elegans,ED3057,NA
Julie Wang,NA,30.533918,114.341974,"Wuhan China Guoxiu, China",Caenorhabditis elegans,GXW1,NA
