isolated_by,landscape,latitude,longitude,place,species,strain,substrate
Donald L Riddle,,-34.93,138.6,"Adelaide, Australia",Caenorhabditis elegans,AB1,soil under rotting vegetation
Donald L Riddle,,-34.93,138.6,"Adelaide, Australia",Caenorhabditis elegans,AB2,soil under rotting vegetation
NA,,,,,Caenorhabditis elegans,AB3,
Donald L Riddle,,-34.93,138.6,"Adelaide, Australia",Caenorhabditis elegans,AB4,soil under rotting vegetation
NA,,,,,Rhabditis sp.,AF5,
NA,,,,,Oscheius akosreti,AF13(4),
NA,,,,,Caenorhabditis briggsae,AF16,
NA,,,,,Unknown species,AF25,
NA,,,,,Panagrolaimus rigidus,AF36,
NA,,,,,Mesorhabditis sp.,AF37,
NA,,,,,Panagrolaimus rigidus,AF40,
NA,,,,,Mesorhabditis miotki,AF72,
NA,,,,,Mesorhabditis sp.,AF78,
NA,,,,,Unknown species,AF271,
NA,,,,,Unknown species,AF272,
NA,,,,,Unknown species,AF6733,
NA,,,,,Unknown species,AF6840,
NA,,,,,Unknown species,AF7340,
NA,,,,,Unknown species,AF8032,
NA,,,,,Pristionchus sp.,AF8130,
NA,,,,"Victoria, Australia",Ascaris suum,A_suum_Australian_isolate,Pig
NA,,,,Northern United States,Ascaris suum,A_suum_US_isolate,Pig
NA,,,,"Brazil, South America",Haemonchus contortus,BAR001,Santa Ines sheep
NA,,39.55,116.25,"Beijing, China",Panagrolaimus sp.,BW287,
NA,,,,,Caenorhabditis elegans,CB3191,
NA,,,,,Caenorhabditis elegans,CB3192,
NA,,,,,Caenorhabditis elegans,CB3193,
NA,,,,,Caenorhabditis elegans,CB3194,
NA,,,,,Caenorhabditis elegans,CB3195,
NA,,,,,Caenorhabditis elegans,CB3196,
NA,,,,,Caenorhabditis elegans,CB3197,
Edward M Hedgecock,Urban garden,34.14,-118.13,"California Institute of Technology, Pasadena, USA",Caenorhabditis elegans,CB3198,flower bed
NA,,,,,Caenorhabditis elegans,CB3199,
NA,,,,,Caenorhabditis elegans,CB4507,
NA,,,,,Caenorhabditis elegans,CB4555,
Victor Marc Nigon,Urban garden,44.85,0.48,"Bergerac, France",Caenorhabditis elegans,CB4851,soil
NA,,,,,Caenorhabditis elegans,CB4852,
Charles D. Johnson,Urban garden,34.189,-118.131,"Altadena, USA",Caenorhabditis elegans,CB4853,vegetable garden
Charles D. Johnson,Urban garden,34.189,-118.131,"Altadena, USA",Caenorhabditis elegans,CB4854,vegetable garden
Tabitha Doniach,Urban garden,37.44,-122.17,"Stanford University, Palo Alto, USA",Caenorhabditis elegans,CB4855,compost heap
NA,Rural garden,19,-155,Hawaii,Caenorhabditis elegans,CB4856,pineapple field
Edward M Hedgecock,,34.096,-117.719,"Claremont, USA",Caenorhabditis elegans,CB4857,rotting mushroom
Edward M Hedgecock,Urban garden,34.14,-118.13,"Pasadena, USA",Caenorhabditis elegans,CB4858,flower bed
NA,,,,,Caenorhabditis elegans,CB4869,
Parwinder Grewal,Rural garden,51.02,-3.1,"Taunton, Great Britain",Caenorhabditis elegans,CB4932,mushroom casing
NA,,,,,Caenorhabditis elegans,CC1,
NA,,,,,Caenorhabditis elegans,CC2,
NA,,,,,Caenorhabditis elegans,CC3,
NA,,,,Australia,Haemonchus contortus,CSI001,Sheep
NA,,,,Australia,Haemonchus contortus,CSI002,Sheep
NA,,,,Australia,Haemonchus contortus,CSI003,Sheep
NA,,,,Australia,Haemonchus contortus,CSI004,Sheep
NA,,,,Australia,Haemonchus contortus,CSI005,Sheep
NA,,,,Australia,Haemonchus contortus,CSI006,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI007,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI008,Sheep
NA,,,,"Stanthorpe, Southern Queensland, Australia",Haemonchus contortus,CSI009,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI010,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI011,Sheep
NA,,,,Australia,Haemonchus contortus,CSI012,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI013,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI014,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI015,Sheep (Ovis aries)
NA,,,,Australia,Haemonchus contortus,CSI016,Sheep (Ovis aries)
NA,,,,Australia,Teladorsagia circumcincta,CSI017,Sheep
NA,Agricultural land,,,Australia,Teladorsagia circumcincta,CSI018,Sheep
NA,,,,Australia,Teladorsagia circumcincta,CSI019,Sheep
NA,,,,,Trichostrongylus colubriformis,CSI020,Goat
NA,,,,Australia,Trichostrongylus colubriformis,CSI021,Sheep
NA,,,,Australia,Haemonchus placei,CSI022,Cattle (Bos taurus)
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11254,soil
NA,,34.13,-118.29,"Griffith Park, Los Angeles, USA",Caenorhabditis elegans,CX11258,soil
NA,,34.13,-118.29,"Griffith Park, Los Angeles, USA",Caenorhabditis elegans,CX11259,compost heap
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11262,soil
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11264,soil
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11268,soil
NA,Urban garden,34.14,-118.13,"California Institute of Technology, Pasadena, USA",Caenorhabditis elegans,CX11271,soil
NA,Urban garden,34.21,-118.21,"Decanso Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11276,soil
NA,,34.13,-118.29,"Griffith Park, Los Angeles, USA",Caenorhabditis elegans,CX11278,compost heap
NA,Urban garden,34.16,-118.05,"Los Angeles Arboretum, Los Angeles, USA",Caenorhabditis elegans,CX11285,soil
NA,Urban garden,34.13,-118.29,"Griffith Park, Los Angeles, USA",Caenorhabditis elegans,CX11292,compost heap
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11294,soil
NA,,34.13,-118.29,"Griffith Park, Los Angeles, USA",Caenorhabditis elegans,CX11305,soil
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11307,soil
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11314,soil
NA,Urban garden,34.13,-118.11,"Huntington Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11315,soil
NA,Urban garden,34.21,-118.21,"Decanso Gardens, Los Angeles, USA",Caenorhabditis elegans,CX11316,soil
NA,,34.13,-118.29,"Griffith Park, Los Angeles, USA",Caenorhabditis elegans,CX11317,compost heap
NA,Urban garden,34.14,-118.13,"California Institute of Technology, Pasadena, USA",Caenorhabditis elegans,CX11319,soil
NA,,34.16,-118.05,"Los Angeles Arboretum, Los Angeles, USA",Caenorhabditis elegans,CX11321,soil
NA,,,,,Caenorhabditis elegans,DA650,
NA,,,,,Rhabditella axei,DF5006,
NA,,,,,Rhabditis blumi,DF5010,
NA,,,,,Rhabditoides regina,DF5012,
NA,,,,,Pelodera strongyloides,DF5013,
NA,,,,,Oscheius dolichuroides,DF5018,
NA,,,,,Teratorhabditis palmarum,DF5019,
NA,,,,,Rhabditis myriophila,DF5020,
NA,,,,,Pelodera strongyloides,DF5022,
NA,,,,,Pellioditis typica,DF5025,
NA,,,,,Oscheius dolichura,DF5033,
NA,,,,,Pelodera strongyloides,DF5040,
Elie Dolgin,,-23.8,31.4,"Kruger, South Africa",Caenorhabditis briggsae,DF5100,
NA,,,,,Caenorhabditis elegans,DH424,
NA,,,,,Caenorhabditis briggsae,DH1300,
Dee R. Denver,Urban garden,9.03,38.74,"Addis Ababa, Ethiopia",Caenorhabditis elegans,DL200,soil
NA,Forest,19.22,-155.82,"Manuka, USA",Caenorhabditis elegans,DL238,soil
NA,,,,,Caenorhabditis elegans,DP13,
Victor Marc Nigon,Urban garden,44.85,0.48,"Bergerac, France",Caenorhabditis elegans,DR1344,soil
NA,,,,,Caenorhabditis elegans,DR1345,
NA,,,,,Caenorhabditis elegans,DR1346,
NA,,,,,Caenorhabditis elegans,DR1347,
NA,,,,,Caenorhabditis elegans,DR1348,
NA,,,,,Caenorhabditis elegans,DR1349,
Edward M Hedgecock,Urban garden,34.14,-118.13,"California Institute of Technology, Pasadena, USA",Caenorhabditis elegans,DR1350,flower bed
NA,,,,,Acrobeloides sp.,DWF1105,
NA,,,,,Acrobeloides sp.,DWF1106,
NA,,,,,Acrobeloides butschlii,DWF1107,
NA,,,,,Acrobeloides sp.,DWF1108,
NA,,,,,Acrobeloides thornei,DWF1109,
NA,,,,,Acrobeloides ellesmerensis,DWF1110,
NA,,,,,Cephalobus sp.,DWF1301,
NA,,,,,Dolichorhabditis sp.,DWF1501,
NA,,,,,Operculrhabditis sp.,DWF1604,
NA,,,,,Zeldia sp.,DWF1701,
NA,,,,"Pavia, Italy",Dirofilaria immitis,D_immitis_Italy_isolate,Dog
NA,,,,"Athens, Georgia, USA",Dirofilaria immitis,D_immitis_USA_isolate,Dog
Asher D Cutter,Urban garden,55.94,-3.36,"Ediburgh, Scotland",Caenorhabditis elegans,ED3005,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3010,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3011,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3012,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3014,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3015,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3017,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3019,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3020,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Edinburgh, Scotland",Caenorhabditis elegans,ED3021,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3023,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3024,compost heap
Asher D Cutter,Urban garden,55.92,-3.19,"Ediburgh, Scotland",Caenorhabditis elegans,ED3028,compost heap
NA,,,,,Caenorhabditis briggsae,ED3032,
NA,,,,,Caenorhabditis briggsae,ED3033,
NA,,,,,Caenorhabditis briggsae,ED3034,
NA,,,,,Caenorhabditis briggsae,ED3035,
NA,,,,,Caenorhabditis briggsae,ED3036,
NA,,,,,Caenorhabditis briggsae,ED3037,
NA,Urban garden,-26.1,28.01,"Johannesburg, South Africa",Caenorhabditis elegans,ED3040,compost heap
NA,Urban garden,-33.22,19.19,"Ceres, South Africa",Caenorhabditis elegans,ED3042,compost heap
NA,Urban garden,-33.22,19.19,"Ceres, South Africa",Caenorhabditis elegans,ED3043,compost heap
NA,Urban garden,-33.22,19.19,"Ceres, South Africa",Caenorhabditis elegans,ED3046,compost heap
NA,Urban garden,-33.22,19.19,"Ceres, South Africa",Caenorhabditis elegans,ED3048,compost heap
NA,Urban garden,-33.22,19.19,"Ceres, South Africa",Caenorhabditis elegans,ED3049,compost heap
NA,Urban garden,-33.22,19.19,"Ceres, South Africa",Caenorhabditis elegans,ED3052,compost heap
NA,,,,"Limuri, Kenya",Caenorhabditis elegans,ED3054,
NA,,,,,Caenorhabditis elegans,ED3072,
NA,Agricultural land,-1.05,36.39,"Limuru, Kenya",Caenorhabditis elegans,ED3073,compost heap
NA,Agricultural land,-1.05,36.39,"Limuru, Kenya",Caenorhabditis elegans,ED3075,compost heap
NA,,-1.19,36.48,"Nairobi, Kenya",Caenorhabditis elegans,ED3077,leaf litter
Elie Dolgin,Urban garden,-26.2,28,"Johannesburg, South Africa",Caenorhabditis briggsae,ED3078,compost heap
Elie Dolgin,Urban garden,-26.2,28,"Johannesburg, South Africa",Caenorhabditis briggsae,ED3079,compost heap
Elie Dolgin,Urban garden,-26.2,28,"Johannesburg, South Africa",Caenorhabditis briggsae,ED3080,compost heap
Elie Dolgin,Urban garden,-26.2,28,"Johannesburg, South Africa",Caenorhabditis briggsae,ED3083,compost heap
