isolated_by,landscape,latitude,longitude,place,species,strain,substrate
Elie Dolgin,Urban garden,-26.2,28,"Johannesburg, South Africa",Caenorhabditis briggsae,ED3084,compost heap
Elie Dolgin,Urban garden,-26.2,28,"Johannesburg, South Africa",Caenorhabditis briggsae,ED3089,compost heap
NA,,,,,Caenorhabditis briggsae,ED3092,
NA,,,,,Caenorhabditis briggsae,ED3101,
NA,,,,,Caenorhabditis briggsae,EG4181,
NA,,,,,Caenorhabditis briggsae,EG4207,
Michael Ailion,Urban garden,44.05,-123.11,"Eugene, USA",Caenorhabditis elegans,EG4346,"rotting fruit, tomato"
Michael Ailion,Urban garden,44.05,-123.11,"Eugene, USA",Caenorhabditis elegans,EG4347,"rotting fruit, tomato"
Michael Ailion,,40.78,-111.93,"Salt Lake City, USA",Caenorhabditis elegans,EG4348,"rotting fruit, apple"
Michael Ailion,,40.78,-111.93,"Salt Lake City, USA",Caenorhabditis elegans,EG4349,"rotting fruit, apple"
NA,,40.36,111.48,"Salt Late City, Utah, USA",Ceanorhabditis briggsae,EG4360,rotten plum
NA,,40.46,111.49,"Salt Late City, Utah, USA",Ceanorhabditis briggsae,EG4365,rotten acorn
Michael Ailion,,40.78,-111.93,"Salt Lake City, USA",Caenorhabditis elegans,EG4680,"rotting fruit, apple"
Michael Ailion,,40.78,-111.93,"Salt Lake City, USA",Caenorhabditis elegans,EG4689,"rotting fruit, apple"
Michael Ailion,Urban garden,41.64,-8.35,"Amares, Portugal",Caenorhabditis elegans,EG4724,"rotting fruit, apple"
Michael Ailion,Urban garden,41.64,-8.35,"Amares, Portugal",Caenorhabditis elegans,EG4725,"rotting fruit, apple"
Michael Ailion,,41.63,-8.35,"Amares, Portugal",Caenorhabditis portoensis,EG4788,"rotting fruit, apple"
Gunther Hollopeter,,40.726,-111.822,"Salt Lake City, USA",Caenorhabditis elegans,EG4945,"rotting nuts, walnuts"
Gunther Hollopeter,,40.726,-111.822,"Salt Lake City, USA",Caenorhabditis elegans,EG4946,"rotting nuts, walnuts"
Gunther Hollopeter,,40.726,-111.822,"Salt Lake City, USA",Caenorhabditis elegans,EG4948,"live insect, millipede"
Gunther Hollopeter,,40.726,-111.822,"Salt Lake City, USA",Caenorhabditis elegans,EG4951,"rotting nuts, walnuts"
Gunther Hollopeter,,40.726,-111.822,"Salt Lake City, USA",Caenorhabditis elegans,EG4957,"rotting nuts, walnuts"
NA,,23.1,44.11,"Dois Rios, Ilha Grande, Brazil",Ceanorhabditis briggsae,EG5612,rotting fruit
Michael Ailion,Forest,-23.1823,-44.1946,"Dois Rios, Brazil",Caenorhabditis briggsae,EG5613,rotting fruit
NA,,23.1,44.11,"Dois Rios, Ilha Grande, Brazil",Ceanorhabditis briggsae,EG5614,rotting fruit
NA,,,,,Pellioditis sp.,EM434,
NA,,,,,Oscheius myriophila,EM435,
NA,,,,,Pelodera teres,EM437,
NA,,,,"Kuala Lumpur, Malaysia",Brugia malayi,FR3,
NA,,,,,Caenorhabditis elegans,GM209,
NA,,,,,Caenorhabditis briggsae,HK104,
NA,,,,,Caenorhabditis briggsae,HK105,
NA,,,,,Ancylostoma ceylanicum,HY135,Mesocricetus auratus
NA,,,,USA,Trichinella spiralis,ISS 195,"Domestic pig, Sus scrofa"
John M. Kemner,Urban garden,47.76,-122.28,"Lake Forest Park, USA",Caenorhabditis elegans,JT11362,worm bin
John M. Kemner,Urban garden,47.76,-122.28,"Lake Forest Park, USA",Caenorhabditis elegans,JT11398,worm bin
John M. Kemner,Urban garden,47.76,-122.28,"Lake Forest Park, USA",Caenorhabditis elegans,JT11399,worm bin
Marie-Anne Felix,Agricultural land,32.73,-16.89,"Ribeiro Frio, Madeira",Caenorhabditis elegans,JU258,soil
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU262,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU263,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU277,"live mollusk, snails"
Marie-Anne Felix,Urban garden,48.844,2.36,"Paris, France",Caenorhabditis briggsae,JU279,"dead mollusk, Helix aspersa"
Marie-Anne Felix,Urban garden,48.844,2.36,"Paris, France",Caenorhabditis briggsae,JU280,"dead mollusk, Helix aspersa"
Marie-Anne Felix,Urban garden,48.844,2.36,"Paris, France",Caenorhabditis briggsae,JU296,"dead mollusk, Helix aspersa"
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU298,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU299,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU300,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU301,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU302,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU303,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU304,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU305,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU306,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU307,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU308,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU309,compost heap
Marie-Anne Felix,Rural garden,46.63,1.06,"Le Blanc, France",Caenorhabditis elegans,JU310,compost heap
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU311,"live mollusk, snails"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU312,"live mollusk, snails"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU313,"live mollusk, snails"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU314,"live mollusk, Helix"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU315,"live mollusk, Pomatias"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU316,"live mollusk, Pomatias"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU317,"live mollusk, Oxychilus"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU318,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU319,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU320,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU321,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU322,"live mollusk, Helix"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU323,"live mollusk, Helix"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU342,"live mollusk, snails"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU343,"live arthropod, Glomeris"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU344,"live arthropod, Glomeris"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU345,"live arthropod, Glomeris"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU346,"live arthropod, Glomeris"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis elegans,JU347,"live mollusk, Pomatias"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU348,"live mollusk, Oxychilus"
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU349,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU350,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU351,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU352,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU353,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU354,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU355,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU356,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU357,soil
Marie-Anne Felix,Rural garden,44.42,4.4,"Merlet, France",Caenorhabditis briggsae,JU358,soil
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU360,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU361,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU362,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU363,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU364,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU365,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU366,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU367,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU368,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU369,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU370,compost heap
Marie-Anne Felix,Urban garden,48.98,2.23,"Franconville, France",Caenorhabditis elegans,JU371,compost heap
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU372,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU373,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU374,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU375,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU376,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU377,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU378,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU379,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU380,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU381,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU382,soil
Marie-Anne Felix,Agricultural land,49.113,1.96,"Santeuil, France",Caenorhabditis briggsae,JU383,soil
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU393,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU394,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU395,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU396,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU397,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU398,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU399,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU400,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU401,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU402,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis briggsae,JU403,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis briggsae,JU404,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis briggsae,JU405,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU406,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU407,compost heap
Antoine Barriere,Rural garden,49.28,-0.32,"Hermanville, France",Caenorhabditis elegans,JU438,soil
Antoine Barriere,Urban garden,64.1,-21.9,"Reykjavik, Iceland",Caenorhabditis briggsae,JU439,soil
Marie-Anne Felix,Rural garden,48.715,1.56,"Beauchne, France",Caenorhabditis elegans,JU440,compost heap
Marie-Anne Felix,Rural garden,48.715,1.56,"Beauchene, France",Caenorhabditis briggsae,JU441,soil
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU496,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU497,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU498,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU499,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU500,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU501,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU502,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU503,compost heap
Marie-Anne Felix,Urban garden,48.84,2.5,"Le Perreux-sur-Marne, France",Caenorhabditis elegans,JU504,compost heap
